Borough,Median_Househols_Income
City of London,"45,436"
Barking and Dagenham,"21,953"
Barnet,"34,163"
Bexley,"29,192"
Brent,"28,847"
Bromley,"33,659"
Camden,"36,053"
Croydon,"27,853"
Ealing,"29,918"
Enfield,"27,946"
Greenwich,"27,364"
Hackney,"28,691"
Hammersmith and Fulham,"36,527"
Haringey,"29,327"
Harrow,"31,430"
Havering,"29,918"
Hillingdon,"29,318"
Hounslow,"29,529"
Islington,"33,859"
Kensington and Chelsea,"43,315"
Kingston upon Thames,"35,805"
Lambeth,"30,753"
Lewisham,"26,541"
Merton,"33,003"
Newham,"23,143"
Redbridge,"29,549"
Richmond upon Thames,"41,493"
Southwark,"29,222"
Sutton,"32,398"
Tower Hamlets,"30,760"
Waltham Forest,"28,043"
Wandsworth,"37,911"
Westminster,"40,919"
