Borough,Neighborhood Latitude,Neighborhood Longitude,Name,Restaurant Latitude,Restaurant Longitude,Category_Names,Area (sq mi),Population_2019,Density,Median_Househols_Income,N_employees
Barking and Dagenham,51.5607,0.1557,Lara Grill,51.562533,0.147262,Fast Food Restaurant,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,The Beacon Tree,51.561391,0.140883,Pub,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Domino's Pizza,51.572111,0.137844,Pizzeria,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Subway,51.568813,0.178686,Fast Food Restaurant,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Millennium Cafe,51.562272,0.147468,Café,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Pipe Major,51.545786,0.165644,Bar,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,212 Shisha Lounge,51.571832,0.141337,Hookah Bar,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,McDonald's,51.56531,0.145303,Fast Food Restaurant,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Enjoy Cafe,51.546779,0.16488,Café,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Eyva Ocakbaşı,51.571857,0.1378,Turkish Restaurant,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Griller,51.571275,0.132293,Fast Food Restaurant,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Central Sandwich Bar,51.560577,0.146978,Fast Food Restaurant,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,King's Flavour,51.563166,0.146918,Fried Chicken Joint,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Kim Ling,51.563906,0.146548,Chinese Restaurant,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Spice Mahal,51.551373,0.155064,Fast Food Restaurant,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Beacon Tree B B Q,51.561417,0.140258,Fish and Chips Shop,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Chicken Max,51.552381,0.164565,Fast Food Restaurant,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Dixy Fried Chicken,51.554432,0.142291,Fast Food Restaurant,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Supreme Sandwich Bar,51.574371,0.161217,"Cafes, Coffee, and Tea Houses",13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,King Fryer,51.57464,0.16184,Fish and Chips Shop,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Eat & Eat,51.571973,0.140874,Restaurant,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Stadium,51.574163,0.165119,Fish and Chips Shop,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Shish Legends,51.565875,0.178163,Turkish Restaurant,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Capital Chinese Take Away,51.546569,0.165026,Fast Food Restaurant,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Mr Wong,51.558618,0.130573,Chinese Restaurant,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Midsummer House,51.575091,0.166606,French Restaurant,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,George's Fish Bar,51.572111,0.137844,Fish and Chips Shop,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Eatwell,51.558893,0.129459,American Restaurant,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Hot & Tender Essex,51.558837,0.129425,Fast Food Restaurant,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Kam Wah House,51.558833,0.129331,Restaurant,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,The Rosie lee cafe Romford,51.57439,0.170704,Restaurant,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Aroma,51.571094,0.133098,Fast Food Restaurant,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Rose Cafe & Panini Sandwich Bar,51.571009,0.132405,"Cafes, Coffee, and Tea Houses",13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,King Kebab,51.551712,0.130733,Pizzeria,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Morrisons Becontree Heath Cafe,,,Café,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Heath Pie Shop,51.560328,0.147466,Diner,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,The Golden Fish,51.560577,0.146978,Fish and Chips Shop,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Cafe Zone,51.563304,0.146361,Café,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,New China Gold,51.561395,0.140977,Chinese Restaurant,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Best Cafe,51.566657,0.136604,Café,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Mr Wongs,51.558938,0.130495,Chinese Restaurant,13.93,212906,5.871,21.953,57.715
Barking and Dagenham,51.5607,0.1557,Pizza Hut,51.558985,0.13034,Fast Food Restaurant,13.93,212906,5.871,21.953,57.715
