,Borough,Area (sq mi),Population_2019,Co-ordinates,Density,Median_Househols_Income,N_employees,DMS,DDM,latitude,longitude
0,Barnet,33.49,395896,51°37′31″N 0°09′06″W﻿ / ﻿51.6252°N 0.1517°W,"4,520","34,163","134,650",51°33′39″N 0°09′21″E , 51.5607N 0.1557E,51.5607,0.1557
1,Bexley,23.38,248287,51°27′18″N 0°09′02″E﻿ / ﻿51.4549°N 0.1505°E,"4,082","29,192","78,930",51°27′18″N 0°09′02″E﻿ , ﻿51.4549N 0.1505E,51.4549,0.1505
2,Brent,16.7,329771,51°33′32″N 0°16′54″W﻿ / ﻿51.5588°N 0.2817°W,"7,652","28,847","123,260",51°33′32″N 0°16′54″W﻿ , ﻿51.5588N 0.2817W,51.5588,0.2817
3,Bromley,57.97,332336,51°24′14″N 0°01′11″E﻿ / ﻿51.4039°N 0.0198°E,"2,205","33,659","108,250",51°24′14″N 0°01′11″E﻿ , ﻿51.4039N 0.0198E,51.4039,0.0198
4,Camden,8.4,270029,51°31′44″N 0°07′32″W﻿ / ﻿51.5290°N 0.1255°W,"12,035","36,053","382,785",51°31′44″N 0°07′32″W﻿ , ﻿51.5290N 0.1255W,51.529,0.1255
5,Croydon,33.41,386710,51°22′17″N 0°05′52″W﻿ / ﻿51.3714°N 0.0977°W,"4,455","27,853","126,125",51°22′17″N 0°05′52″W﻿ , ﻿51.3714N 0.0977W,51.3714,0.0977
6,Ealing,21.44,341806,51°30′47″N 0°18′32″W﻿ / ﻿51.5130°N 0.3089°W,"6,157","29,918","137,725",51°30′47″N 0°18′32″W﻿ , ﻿51.5130N 0.3089W,51.513,0.3089
7,Enfield,31.74,333794,51°39′14″N 0°04′48″W﻿ / ﻿51.6538°N 0.0799°W,"4,130","27,946","106,925",51°39′14″N 0°04′48″W﻿ , ﻿51.6538N 0.0799W,51.6538,0.0799
8,Hackney,7.36,281120,51°32′42″N 0°03′19″W﻿ / ﻿51.5450°N 0.0553°W,"14,681","28,691","132,810",51°32′42″N 0°03′19″W﻿ , ﻿51.5450N 0.0553W,51.545,0.0553
9,Haringey,11.42,268647,51°36′00″N 0°06′43″W﻿ / ﻿51.6000°N 0.1119°W,"9,143","29,327","69,020",51°36′00″N 0°06′43″W﻿ , ﻿51.6000N 0.1119W,51.6,0.1119
10,Harrow,19.49,251160,51°35′23″N 0°20′05″W﻿ / ﻿51.5898°N 0.3346°W,"4,957","31,430","73,120",51°35′23″N 0°20′05″W﻿ , ﻿51.5898N 0.3346W,51.5898,0.3346
11,Havering,43.35,259552,51°34′52″N 0°11′01″E﻿ / ﻿51.5812°N 0.1837°E,"2,295","29,918","87,625",51°34′52″N 0°11′01″E﻿ , ﻿51.5812N 0.1837E,51.5812,0.1837
12,Hillingdon,44.67,306870,51°32′39″N 0°28′34″W﻿ / ﻿51.5441°N 0.4760°W,"2,635","29,318","190,825",51°32′39″N 0°28′34″W﻿ , ﻿51.5441N 0.4760W,51.5441,0.476
13,Hounslow,21.61,271523,51°28′29″N 0°22′05″W﻿ / ﻿51.4746°N 0.3680°W,"4,837","29,529","164,275",51°28′29″N 0°22′05″W﻿ , ﻿51.4746N 0.3680W,51.4746,0.368
14,Islington,5.74,242467,51°32′30″N 0°06′08″W﻿ / ﻿51.5416°N 0.1022°W,"16,097","33,859","238,715",51°32′30″N 0°06′08″W﻿ , ﻿51.5416N 0.1022W,51.5416,0.1022
15,Kensington and Chelsea,4.68,156129,51°30′07″N 0°11′41″W﻿ / ﻿51.5020°N 0.1947°W,"12,884","43,315","142,425",51°30′07″N 0°11′41″W﻿ , ﻿51.5020N 0.1947W,51.502,0.1947
16,Kingston upon Thames,14.38,177507,51°24′31″N 0°18′23″W﻿ / ﻿51.4085°N 0.3064°W,"4,709","35,805","79,175",51°24′31″N 0°18′23″W﻿ , ﻿51.4085N 0.3064W,51.4085,0.3064
17,Lambeth,10.36,326034,51°27′39″N 0°06′59″W﻿ / ﻿51.4607°N 0.1163°W,"12,157","30,753","153,450",51°27′39″N 0°06′59″W﻿ , ﻿51.4607N 0.1163W,51.4607,0.1163
18,Lewisham,13.57,305842,51°26′43″N 0°01′15″W﻿ / ﻿51.4452°N 0.0209°W,"8,636","26,541","67,240",51°26′43″N 0°01′15″W﻿ , ﻿51.4452N 0.0209W,51.4452,0.0209
19,Merton,14.52,206548,51°24′05″N 0°11′45″W﻿ / ﻿51.4014°N 0.1958°W,"5,480","33,003","80,400",51°24′05″N 0°11′45″W﻿ , ﻿51.4014N 0.1958W,51.4014,0.1958
20,Newham,13.98,353134,51°30′28″N 0°02′49″E﻿ / ﻿51.5077°N 0.0469°E,"9,723","23,143","114,010",51°30′28″N 0°02′49″E﻿ , ﻿51.5077N 0.0469E,51.5077,0.0469
21,Redbridge,21.78,305222,51°33′32″N 0°04′27″E﻿ / ﻿51.5590°N 0.0741°E,"5,386","29,549","79,985",51°33′32″N 0°04′27″E﻿ , ﻿51.5590N 0.0741E,51.559,0.0741
22,Richmond upon Thames,22.17,198019,51°26′52″N 0°19′34″W﻿ / ﻿51.4479°N 0.3260°W,"3,430","41,493","83,020",51°26′52″N 0°19′34″W﻿ , ﻿51.4479N 0.3260W,51.4479,0.326
23,Southwark,11.14,318830,51°30′13″N 0°04′49″W﻿ / ﻿51.5035°N 0.0804°W,"10,992","29,222","254,375",51°30′13″N 0°04′49″W﻿ , ﻿51.5035N 0.0804W,51.5035,0.0804
24,Sutton,16.93,206349,51°21′42″N 0°11′40″W﻿ / ﻿51.3618°N 0.1945°W,"4,665","32,398","72,450",51°21′42″N 0°11′40″W﻿ , ﻿51.3618N 0.1945W,51.3618,0.1945
